,BER bits
0,0.056588
1,0.012384
2,0.012543
3,0.0007655
4,0.012544
5,0.0007455
6,0.0007695
7,3.5e-06
8,0.0124225
9,0.000768
10,0.0007405
11,2.5e-06
12,0.0007575
13,4e-06
14,4.5e-06
15,0.0
16,0.01262
17,0.000767
18,0.000789
19,3.5e-06
20,0.0007975
21,4.5e-06
22,2e-06
23,0.0
24,0.000801
25,2e-06
26,4.5e-06
27,0.0
28,2e-06
29,0.0
30,0.0
31,0.0
32,0.012451
33,0.0007765
34,0.0007385
35,4e-06
36,0.000816
37,6.5e-06
38,2.5e-06
39,0.0
40,0.000749
41,4e-06
42,3.5e-06
43,0.0
44,5e-06
45,0.0
46,0.0
47,0.0
48,0.0007915
49,2.5e-06
50,3.5e-06
51,0.0
52,4.5e-06
53,0.0
54,0.0
55,0.0
56,3e-06
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0124075
65,0.0007465
66,0.0007485
67,3.5e-06
68,0.0007985
69,4.5e-06
70,5e-06
71,0.0
72,0.0007345
73,4.5e-06
74,1e-06
75,0.0
76,4.5e-06
77,0.0
78,0.0
79,0.0
80,0.000763
81,3.5e-06
82,5e-06
83,0.0
84,4.5e-06
85,0.0
86,0.0
87,0.0
88,3.5e-06
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0007515
97,4e-06
98,4.5e-06
99,0.0
100,3.5e-06
101,0.0
102,0.0
103,0.0
104,1e-06
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,3e-06
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
